Date,"Slack (software)"
2016-09-22,1398
2016-09-23,1188
2016-09-24,525
2016-09-25,504
2016-09-26,1174
2016-09-27,1206
2016-09-28,1402
2016-09-29,1214
2016-09-30,933
2016-10-01,389
2016-10-02,494
2016-10-03,1118
2016-10-04,1245
2016-10-05,1170
2016-10-06,1153
2016-10-07,966
2016-10-08,426
2016-10-09,430
2016-10-10,1193
2016-10-11,1563
2016-10-12,1463
2016-10-13,1359
2016-10-14,1139
2016-10-15,438
2016-10-16,799
2016-10-17,1337
2016-10-18,1290
2016-10-19,1326
2016-10-20,1266
2016-10-21,1190
2016-10-22,538
2016-10-23,531
2016-10-24,1226
2016-10-25,1385
2016-10-26,1771
2016-10-27,1360
2016-10-28,1040
2016-10-29,465
2016-10-30,480
2016-10-31,1348
2016-11-01,1051
2016-11-02,2907
2016-11-03,4395
2016-11-04,2488
2016-11-05,747
2016-11-06,791
2016-11-07,1718
2016-11-08,1610
2016-11-09,1153
2016-11-10,1316
2016-11-11,994
2016-11-12,363
2016-11-13,452
2016-11-14,1243
2016-11-15,1299
2016-11-16,1366
2016-11-17,1210
2016-11-18,1120
2016-11-19,474
2016-11-20,477
2016-11-21,1137
2016-11-22,1242
2016-11-23,1022
2016-11-24,844
2016-11-25,756
2016-11-26,426
2016-11-27,466
2016-11-28,1223
2016-11-29,1450
2016-11-30,1608
2016-12-01,1439
2016-12-02,1187
2016-12-03,515
2016-12-04,532
2016-12-05,1187
2016-12-06,1301
2016-12-07,1446
2016-12-08,1534
2016-12-09,1160
2016-12-10,494
2016-12-11,500
2016-12-12,1347
2016-12-13,1259
2016-12-14,1565
2016-12-15,1297
2016-12-16,960
2016-12-17,410
2016-12-18,415
2016-12-19,1111
2016-12-20,1015
2016-12-21,1064
2016-12-22,1038
2016-12-23,517
2016-12-24,250
2016-12-25,259
2016-12-26,420
2016-12-27,620
2016-12-28,676
2016-12-29,649
2016-12-30,615
2016-12-31,303
2017-01-01,252
2017-01-02,655
2017-01-03,1119
2017-01-04,1275
2017-01-05,1309
2017-01-06,1785
2017-01-07,1087
2017-01-08,844
2017-01-09,1824
2017-01-10,1733
2017-01-11,1559
2017-01-12,1424
2017-01-13,1173
2017-01-14,509
2017-01-15,503
2017-01-16,1109
2017-01-17,1346
2017-01-18,1642
2017-01-19,1669
2017-01-20,1340
2017-01-21,451
2017-01-22,566
2017-01-23,1382
2017-01-24,1508
2017-01-25,1376
2017-01-26,1227
2017-01-27,1071
2017-01-28,500
2017-01-29,543
2017-01-30,1346
2017-01-31,1789
2017-02-01,1686
2017-02-02,1497
2017-02-03,1376
2017-02-04,465
2017-02-05,528
2017-02-06,1259
2017-02-07,1661
2017-02-08,1589
2017-02-09,1435
2017-02-10,1265
2017-02-11,527
2017-02-12,543
2017-02-13,1435
2017-02-14,1416
2017-02-15,1340
2017-02-16,1371
2017-02-17,1198
2017-02-18,474
2017-02-19,538
2017-02-20,1176
2017-02-21,1399
2017-02-22,1399
2017-02-23,1401
2017-02-24,1339
2017-02-25,502
2017-02-26,525
2017-02-27,1267
2017-02-28,1534
2017-03-01,1568
2017-03-02,1470
2017-03-03,1287
2017-03-04,520
2017-03-05,588
2017-03-06,1335
2017-03-07,1462
2017-03-08,1380
2017-03-09,1533
2017-03-10,1495
2017-03-11,478
2017-03-12,509
2017-03-13,1399
2017-03-14,1629
2017-03-15,1806
2017-03-16,1606
2017-03-17,1362
2017-03-18,539
2017-03-19,526
2017-03-20,1322
2017-03-21,1411
2017-03-22,1449
2017-03-23,1389
2017-03-24,1338
2017-03-25,490
2017-03-26,416
2017-03-27,1298
2017-03-28,1516
2017-03-29,1543
2017-03-30,1410
2017-03-31,1269
2017-04-01,535
2017-04-02,541
2017-04-03,1474
2017-04-04,1411
2017-04-05,1453
2017-04-06,1444
2017-04-07,1267
2017-04-08,491
2017-04-09,509
2017-04-10,1474
2017-04-11,1410
2017-04-12,1528
2017-04-13,1327
2017-04-14,858
2017-04-15,456
2017-04-16,419
2017-04-17,1085
2017-04-18,1505
2017-04-19,1556
2017-04-20,1398
2017-04-21,1204
2017-04-22,483
2017-04-23,476
2017-04-24,1279
2017-04-25,1486
2017-04-26,1675
2017-04-27,1620
2017-04-28,1467
2017-04-29,558
2017-04-30,475
2017-05-01,861
2017-05-02,1316
2017-05-03,1452
2017-05-04,1399
2017-05-05,1271
2017-05-06,549
2017-05-07,540
2017-05-08,1409
2017-05-09,1370
2017-05-10,1399
2017-05-11,1344
2017-05-12,1155
2017-05-13,446
2017-05-14,430
2017-05-15,1205
2017-05-16,1438
2017-05-17,1371
2017-05-18,1268
2017-05-19,1005
2017-05-20,459
2017-05-21,434
2017-05-22,1225
2017-05-23,1245
2017-05-24,1220
2017-05-25,1085
2017-05-26,981
2017-05-27,452
2017-05-28,415
2017-05-29,860
2017-05-30,1196
2017-05-31,1172
2017-06-01,1260
2017-06-02,1092
2017-06-03,498
2017-06-04,430
2017-06-05,1161
2017-06-06,1316
2017-06-07,1350
2017-06-08,1280
2017-06-09,1121
2017-06-10,390
2017-06-11,417
2017-06-12,1233
2017-06-13,1215
2017-06-14,1335
2017-06-15,3859
2017-06-16,3605
2017-06-17,808
2017-06-18,619
2017-06-19,1741
2017-06-20,1755
2017-06-21,1517
2017-06-22,1340
2017-06-23,1116
2017-06-24,440
2017-06-25,543
2017-06-26,1424
2017-06-27,1353
2017-06-28,1412
2017-06-29,1278
2017-06-30,1054
2017-07-01,386
2017-07-02,455
2017-07-03,1055
2017-07-04,984
2017-07-05,1216
2017-07-06,1189
2017-07-07,1136
2017-07-08,418
2017-07-09,443
2017-07-10,1106
2017-07-11,1222
2017-07-12,1310
2017-07-13,1269
2017-07-14,1023
2017-07-15,381
2017-07-16,380
2017-07-17,1199
2017-07-18,1257
2017-07-19,1341
2017-07-20,1240
2017-07-21,996
2017-07-22,350
2017-07-23,440
2017-07-24,1178
2017-07-25,1160
2017-07-26,1164
2017-07-27,1683
2017-07-28,1355
2017-07-29,363
2017-07-30,422
2017-07-31,1098
2017-08-01,1118
2017-08-02,1076
2017-08-03,1145
2017-08-04,1020
2017-08-05,361
2017-08-06,420
2017-08-07,1048
2017-08-08,1170
2017-08-09,1180
2017-08-10,1354
2017-08-11,1183
2017-08-12,432
2017-08-13,441
2017-08-14,1388
2017-08-15,1223
2017-08-16,1418
2017-08-17,1368
2017-08-18,1211
2017-08-19,598
2017-08-20,397
2017-08-21,1142
2017-08-22,1225
2017-08-23,1162
2017-08-24,1200
2017-08-25,1010
2017-08-26,437
2017-08-27,422
2017-08-28,1094
2017-08-29,1325
2017-08-30,2172
2017-08-31,1454
2017-09-01,1061
2017-09-02,414
2017-09-03,396
2017-09-04,845
2017-09-05,1069
2017-09-06,1115
2017-09-07,1205
2017-09-08,1094
2017-09-09,420
2017-09-10,419
2017-09-11,1278
2017-09-12,1337
2017-09-13,1385
2017-09-14,1465
2017-09-15,1096
2017-09-16,412
2017-09-17,486
2017-09-18,4261
2017-09-19,2440
2017-09-20,1699
2017-09-21,1490
2017-09-22,1263
2017-09-23,452
2017-09-24,492
2017-09-25,1427
2017-09-26,1652
2017-09-27,1436
2017-09-28,1247
2017-09-29,1057
2017-09-30,558
2017-10-01,462
2017-10-02,1161
2017-10-03,1312
2017-10-04,1294
2017-10-05,1242
2017-10-06,1226
2017-10-07,529
2017-10-08,523
2017-10-09,1185
